"月次推移：損益計算書_株式会社Appdate（期間：2026年04月～2027年03月、表示単位：円）"
"","2026-04","2026-05","2026-06","2026-07","2026-08","2026-09","2026-10","2026-11","2026-12","2027-01","2027-02","2027-03","期間累計"
"売上高","","","","","","","","","","","","",""
"売上高","760046","618608","800218","1217118","749166","0","0","0","0","0","0","0","4145156"
"売上高 計","760046","618608","800218","1217118","749166","0","0","0","0","0","0","0","4145156"
"売上原価","","","","","","","","","","","","",""
"売上原価","44000","44000","562276","413495","547525","0","0","0","0","0","0","0","1611296"
"期首商品棚卸","0","0","0","0","0","0","0","0","0","0","0","0","0"
"当期商品仕入","44000","44000","562276","413495","547525","0","0","0","0","0","0","0","1611296"
"外注費（売上原価）","44000","44000","562276","413495","547525","0","0","0","0","0","0","0","1611296"
"他勘定振替高(商)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"期末商品棚卸","0","0","0","0","0","0","0","0","0","0","0","0","0"
"商品売上原価","44000","44000","562276","413495","547525","0","0","0","0","0","0","0","1611296"
"売上総損益金額","716046","574608","237942","803623","201641","0","0","0","0","0","0","0","2533860"
"販売管理費","","","","","","","","","","","","",""
"旅費交通費","0","0","2146","958","2718","0","0","0","0","0","0","0","5822"
"通信費","66952","22809","22108","21896","22369","3135","0","0","0","0","0","0","159269"
"支払手数料","739","968","111020","739","739","0","0","0","0","0","0","0","114205"
"販売管理費 計","67691","23777","135274","23593","25826","3135","0","0","0","0","0","0","279296"
"営業損益金額","648355","550831","102668","780030","175815","-3135","0","0","0","0","0","0","2254564"
"営業外収益","0","0","0","0","0","0","0","0","0","0","0","0","0"
"営業外費用","0","0","4810","4560","4614","0","0","0","0","0","0","0","13984"
"支払利息","0","0","4810","4560","4614","0","0","0","0","0","0","0","13984"
"経常損益金額","648355","550831","97858","775470","171201","-3135","0","0","0","0","0","0","2240580"
"特別利益","0","0","0","0","0","0","0","0","0","0","0","0","0"
"特別損失","0","0","0","0","0","0","0","0","0","0","0","0","0"
"税引前当期純損益金額","648355","550831","97858","775470","171201","-3135","0","0","0","0","0","0","2240580"
"法人税等","0","0","0","26952","0","0","0","0","0","0","0","0","26952"
"法人税等","0","0","0","26952","0","0","0","0","0","0","0","0","26952"
"法人税等調整額","0","0","0","0","0","0","0","0","0","0","0","0","0"
"当期純損益金額","648355","550831","97858","748518","171201","-3135","0","0","0","0","0","0","2213628"
