"月次推移：貸借対照表_株式会社Appdate（期間：2026年04月～2027年03月、表示単位：円）"
"","期首","2026-04","2026-05","2026-06","2026-07","2026-08","2026-09","2026-10","2026-11","2026-12","2027-01","2027-02","2027-03"
"資産の部","","","","","","","","","","","","",""
"流動資産","","","","","","","","","","","","",""
"楽天（法人）","1081781","1200709","11490196","955198","1184204","1221218","1221218","1221218","1221218","1221218","1221218","1221218","1221218"
"三菱ＵＦＪ（法人）（API）","563132","523192","823192","823192","823192","823192","823192","823192","823192","823192","823192","823192","823192"
"coincheck","4404286","4404286","7217280","7217280","7217280","7217280","7217280","7217280","7217280","7217280","7217280","7217280","7217280"
"bybit","13812994","13812994","0","0","0","0","0","0","0","0","0","0","0"
"SBI_FX","1393716","1393716","1393716","1393716","1393716","1393716","1393716","1393716","1393716","1393716","1393716","1393716","1393716"
"七十七（法人）（API）","80038","80038","80038","80038","80038","80038","80038","80038","80038","80038","80038","80038","80038"
"楽天_定期預金","0","0","0","2700000","2700000","3200000","3200000","3200000","3200000","3200000","3200000","3200000","3200000"
"売掛金","700008","760046","618608","800218","1217118","749166","749166","749166","749166","749166","749166","749166","749166"
"役員貸付金","0","0","0","7693393","7693393","7693393","7693393","7693393","7693393","7693393","7693393","7693393","7693393"
"未収還付法人税等","547","547","547","0","0","0","0","0","0","0","0","0","0"
"未収入金","0","-4492","-8984","-8984","-8984","-8984","-8984","-8984","-8984","-8984","-8984","-8984","-8984"
"流動資産 計","22036502","22171036","21614593","21654051","22299957","22369019","22369019","22369019","22369019","22369019","22369019","22369019","22369019"
"固定資産","","","","","","","","","","","","",""
"有形固定資産","","","","","","","","","","","","",""
"無形固定資産","","","","","","","","","","","","",""
"ソフトウェア仮勘定","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400"
"無形固定資産 計","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400"
"投資その他の資産","","","","","","","","","","","","",""
"保険積立金","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000"
"投資その他の資産 計","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000"
"固定資産 計","2233400","2233400","2233400","2233400","2233400","2233400","2233400","2233400","2233400","2233400","2233400","2233400","2233400"
"資産 計","24269902","24404436","23847993","23887451","24533357","24602419","24602419","24602419","24602419","24602419","24602419","24602419","24602419"
"負債の部","","","","","","","","","","","","",""
"流動負債","","","","","","","","","","","","",""
"役員借入金","7693393","7693393","7693393","7693393","7693393","7693393","7693393","7693393","7693393","7693393","7693393","7693393","7693393"
"未払金","1730","-928","-1886","-1886","-1886","-1886","-1886","-1886","-1886","-1886","-1886","-1886","-1886"
"未払費用","1050408","507741","30524","30524","-8984","-48492","-48492","-48492","-48492","-48492","-48492","-48492","-48492"
"JCBカード","19970","46982","69791","91899","113795","133029","133029","133029","133029","133029","133029","133029","133029"
"freeeカード Unlimited","0","0","0","0","0","3135","6270","6270","6270","6270","6270","6270","6270"
"未払法人税等","185000","185000","0","0","0","0","0","0","0","0","0","0","0"
"未払消費税等","471400","471400","0","0","0","0","0","0","0","0","0","0","0"
"預り金","23245","27737","32229","36721","36721","36721","36721","36721","36721","36721","36721","36721","36721"
"流動負債 計","9445146","8931325","7824051","7850651","7833039","7815900","7819035","7819035","7819035","7819035","7819035","7819035","7819035"
"固定負債","","","","","","","","","","","","",""
"長期借入金","4335000","4335000","4335000","4250000","4165000","4080000","4080000","4080000","4080000","4080000","4080000","4080000","4080000"
"固定負債 計","4335000","4335000","4335000","4250000","4165000","4080000","4080000","4080000","4080000","4080000","4080000","4080000","4080000"
"負債 計","13780146","13266325","12159051","12100651","11998039","11895900","11899035","11899035","11899035","11899035","11899035","11899035","11899035"
"純資産の部","","","","","","","","","","","","",""
"株主資本","","","","","","","","","","","","",""
"資本金","18006000","18006000","18006000","18006000","18006000","18006000","18006000","18006000","18006000","18006000","18006000","18006000","18006000"
"資本剰余金","","","","","","","","","","","","",""
"資本準備金","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000"
