"","勘定科目","補助科目","10月","11月","12月","1月","2月","3月","4月","5月","6月","7月","8月","9月","決算整理","合計"
"売上高"
"","賃料収入","","281000","250000","250000","389839","335000","335000","335000","335000","335000","335000","840000","85000","0","4105839"
"","","安中原市","0","0","0","139839","85000","85000","85000","85000","85000","85000","85000","85000","0","819839"
"","","ライオンズタワー広瀬","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","0","0","2750000"
"","","きたかみ腎クリニック","31000","0","0","0","0","0","0","0","0","0","505000","0","0","536000"
"売上高合計","","","281000","250000","250000","389839","335000","335000","335000","335000","335000","335000","840000","85000","0","4105839"
"売上原価"
"","管理費","","34960","34960","34960","61089","41040","41040","41040","41040","41040","41040","41040","5500","0","458749"
"","","ライオンズタワー広瀬","34960","34960","34960","35540","35540","35540","35540","35540","35540","35540","35540","0","0","389200"
"","","安中原市","0","0","0","25549","5500","5500","5500","5500","5500","5500","5500","5500","0","69549"
"売上原価合計","","","34960","34960","34960","61089","41040","41040","41040","41040","41040","41040","41040","5500","0","458749"
"売上総利益","","","246040","215040","215040","328750","293960","293960","293960","293960","293960","293960","798960","79500","0","3647090"
"販売費及び一般管理費"
"","租税公課","","57021","11","14","119","314","255","156943","52671","98","23","37","0","0","267506"
"","","自動車税","0","0","0","0","0","0","0","34500","0","0","0","0","0","34500"
"","","固定資産税","57000","0","0","0","0","0","156800","18100","0","0","0","0","0","231900"
"","","補助科目なし","21","11","14","119","314","255","143","71","98","23","37","0","0","1106"
"","保険料","","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","0","60000"
"","","セーフティ共済","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","0","60000"
"","通信費","","5991","4625","5975","33668","3606","3516","3607","6734","2165","61167","2113","17978","0","151145"
"","","IIJ","2081","1945","1997","1861","2019","1931","2016","2061","1917","1779","1859","1889","0","23355"
"","","Google","1342","2442","1342","1342","1342","1342","1342","4423","0","0","0","0","0","14917"
"","","AWS","232","238","243","244","245","243","249","250","248","252","254","249","0","2947"
"","","exchangerAPI","2336","0","2393","2380","0","0","0","0","0","0","0","0","0","7109"
"","","trading view","0","0","0","27841","0","0","0","0","0","0","0","0","0","27841"
"","","Dropbox","0","0","0","0","0","0","0","0","0","0","0","15840","0","15840"
"","","補助科目なし","0","0","0","0","0","0","0","0","0","59136","0","0","0","59136"
"","広告宣伝費","","0","0","0","85000","0","0","0","0","0","0","0","0","0","85000"
"","修繕費","","0","0","0","0","33000","0","0","0","0","0","0","0","0","33000"
"","備品・消耗品費","","0","0","7654","15768","5828","0","11656","7412","0","0","0","0","0","48318"
"","支払手数料","","145","0","0","407","262","262","407","407","262","407","262","262","0","3083"
"","支払報酬","","0","110000","0","0","22000","0","0","0","0","0","0","0","0","132000"
"","","K2税理士法人","0","110000","0","0","22000","0","0","0","0","0","0","0","0","132000"
"販売費及び一般管理費合計","","","68157","119636","18643","139962","70010","9033","177613","72224","7525","66597","7412","23240","0","780052"
"営業利益","","","177883","95404","196397","188788","223950","284927","116347","221736","286435","227363","791548","56260","0","2867038"
"営業外収益"
"","受取利息","","144","77","102","780","2737","1671","938","476","648","153","247","0","0","7973"
"","雑収入","","0","0","1056","0","180","74","15","132","108","395","2","485","0","2447"
"営業外収益合計","","","144","77","1158","780","2917","1745","953","608","756","548","249","485","0","10420"
"営業外費用"
"","支払利息","","31171","0","31076","30980","30884","61480","30596","0","60902","30306","30210","30113","0","367718"
"","","七十七銀行_ライオンズタワー広瀬ローン","31171","0","31076","30980","30884","61480","30596","0","60902","30306","30210","30113","0","367718"
"営業外費用合計","","","31171","0","31076","30980","30884","61480","30596","0","60902","30306","30210","30113","0","367718"
"経常利益","","","146856","95481","166479","158588","195983","225192","86704","222344","226289","197605","761587","26632","0","2509740"
"特別利益"
"特別利益合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"特別損失"
"特別損失合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"当期純損益"
"税引前当期純利益","","","146856","95481","166479","158588","195983","225192","86704","222344","226289","197605","761587","26632","0","2509740"
"当期純利益","","","146856","95481","166479","158588","195983","225192","86704","222344","226289","197605","761587","26632","0","2509740"
