"","勘定科目","補助科目","10月","11月","12月","1月","2月","3月","4月","5月","6月","7月","8月","9月","決算整理"
"資産の部"
"流動資産"
"現金及び預金"
"","現金","","1080000","1080000","1080000","1080000","1080000","1080000","1080000","1080000","1080000","1080000","1080000","1080000","1080000"
"","Amazonギフトカード","","0","0","7000","9100","9100","9100","9100","1688","1688","1688","1688","1688","1688"
"","普通預金","","-1330910","-1384749","6697528","7022420","7111574","3838596","3997448","4178230","4200985","4301990","5071079","5001161","5001161"
"","","住信SBIネット銀行_代表口座","-2180790","-2229632","5984550","6010731","6229464","3214029","3074074","3259557","1840769","1643667","2544646","2606638","2606638"
"","","住信SBIネット銀行_ハイブリッド預金2","65","68","73","694","2346","3623","4340","4639","5002","5019","5039","5039","5039"
"","","【法人】住信SBIネット銀行106代表口座 - 円定期126","0","0","0","0","0","0","0","0","1700000","1700000","1700000","1700000","1700000"
"","","七十七銀行_旭ヶ丘支店","849815","844815","712905","1010995","879764","620944","919034","914034","655214","953304","821394","689484","689484"
"","定期預金","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","住信SBI銀行","0","0","0","0","0","0","0","0","-1700000","-1700000","-1700000","-1700000","-1700000"
"","","補助科目なし","0","0","0","0","0","0","0","0","1700000","1700000","1700000","1700000","1700000"
"現金及び預金合計","","","-250910","-304749","7784528","8111520","8200674","4927696","5086548","5259918","5282673","5383678","6152767","6082849","6082849"
"売上債権"
"売上債権合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"有価証券"
"有価証券合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"棚卸資産"
"棚卸資産合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"その他流動資産"
"","未収還付法人税等","","953","953","953","953","953","953","953","953","953","953","953","953","953"
"","前払費用","","28838","28838","28838","28838","28838","28838","28838","35029","35029","35029","35029","35029","35029"
"","預託証拠金","","16532","16532","16532","16532","16532","16532","16532","16532","16532","16532","16532","16532","16532"
"","","bit flyer","1495","1495","1495","1495","1495","1495","1495","1495","1495","1495","1495","1495","1495"
"","","zaif","65","65","65","65","65","65","65","65","65","65","65","65","65"
"","","Bybit","14972","14972","14972","14972","14972","14972","14972","14972","14972","14972","14972","14972","14972"
"","SBI証券","","2799391","2799391","2799391","2799391","2799391","2799391","2799391","2799391","2799391","2799391","2799391","2799391","2799391"
"その他流動資産合計","","","2845714","2845714","2845714","2845714","2845714","2845714","2845714","2851905","2851905","2851905","2851905","2851905","2851905"
"流動資産合計","","","2594804","2540965","10630242","10957234","11046388","7773410","7932262","8111823","8134578","8235583","9004672","8934754","8934754"
"固定資産"
"有形固定資産"
"","建物","","36127656","36127656","36127656","36127656","36127656","36127656","36127656","36127656","36127656","36127656","36127656","36127656","36127656"
"","","ライオンズタワー広瀬建物","34843196","34843196","34843196","34843196","34843196","34843196","34843196","34843196","34843196","34843196","34843196","34843196","34843196"
"","","安中原市建物","1284460","1284460","1284460","1284460","1284460","1284460","1284460","1284460","1284460","1284460","1284460","1284460","1284460"
"","工具器具備品","","0","0","0","0","0","0","0","93000","93000","93000","93000","93000","93000"
"","車両運搬具","","1","1","1","1","1","1","1","1","1","1","1","1","1"
"","","アクア","1","1","1","1","1","1","1","1","1","1","1","1","1"
"","一括償却資産","","35596","35596","35596","35596","35596","35596","35596","35596","35596","35596","35596","35596","35596"
"","土地","","9543924","9543924","9543924","9543924","9543924","9543924","9543924","9543924","9543924","9543924","9543924","9543924","9543924"
"","","安中原市土地","7571544","7571544","7571544","7571544","7571544","7571544","7571544","7571544","7571544","7571544","7571544","7571544","7571544"
"","","ライオンズタワー広瀬土地","1972380","1972380","1972380","1972380","1972380","1972380","1972380","1972380","1972380","1972380","1972380","1972380","1972380"
"有形固定資産合計","","","45707177","45707177","45707177","45707177","45707177","45707177","45707177","45800177","45800177","45800177","45800177","45800177","45800177"
"無形固定資産"
"無形固定資産合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"投資その他の資産"
"","投資有価証券","","2393165","2393165","2393165","2393165","2393165","2393165","2393165","2393165","2393165","2393165","2393165","2393165","2393165"
