"月次推移：損益計算書_株式会社はれのこ（期間：2026年06月～2027年05月、表示単位：円）"
"","2026-06","2026-07","2026-08","2026-09","2026-10","2026-11","2026-12","2027-01","2027-02","2027-03","2027-04","2027-05","期間累計"
"売上高","","","","","","","","","","","","",""
"売上高","800000","800000","800000","0","0","0","0","0","0","0","0","0","2400000"
"売上高 計","800000","800000","800000","0","0","0","0","0","0","0","0","0","2400000"
"売上原価","","","","","","","","","","","","",""
"売上原価","0","0","0","0","0","0","0","0","0","0","0","0","0"
"期首商品棚卸","0","0","0","0","0","0","0","0","0","0","0","0","0"
"当期商品仕入","0","0","0","0","0","0","0","0","0","0","0","0","0"
"他勘定振替高(商)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"期末商品棚卸","0","0","0","0","0","0","0","0","0","0","0","0","0"
"商品売上原価","0","0","0","0","0","0","0","0","0","0","0","0","0"
"売上総損益金額","800000","800000","800000","0","0","0","0","0","0","0","0","0","2400000"
"販売管理費","","","","","","","","","","","","",""
"役員報酬","92999","92999","92999","0","0","0","0","0","0","0","0","0","278997"
"給料手当","1066309","114135","0","0","0","0","0","0","0","0","0","0","1180444"
"法定福利費","173778","217190","228734","0","0","0","0","0","0","0","0","0","619702"
"福利厚生費","5000","5000","5000","0","0","0","0","0","0","0","0","0","15000"
"通信費","4711","44056","3333","553","0","0","0","0","0","0","0","0","52653"
"支払手数料","650","1155770","400","0","0","0","0","0","0","0","0","0","1156820"
"地代家賃","45498","45498","131696","-40700","0","0","0","0","0","0","0","0","181992"
"租税公課","30000","589879","60000","46000","0","46000","0","0","0","0","0","0","771879"
"支払報酬料","0","22000","22000","0","0","0","0","0","0","0","0","0","44000"
"販売管理費 計","1418945","2286527","544162","5853","0","46000","0","0","0","0","0","0","4301487"
"営業損益金額","-618945","-1486527","255838","-5853","0","-46000","0","0","0","0","0","0","-1901487"
"営業外収益","156","135","1260","131","0","0","0","0","0","0","0","0","1682"
"受取利息","156","135","1260","131","0","0","0","0","0","0","0","0","1682"
"営業外費用","102064","123397","651046","0","0","0","0","0","0","0","0","0","876507"
"支払利息","102064","123397","651046","0","0","0","0","0","0","0","0","0","876507"
"経常損益金額","-720853","-1609789","-393948","-5722","0","-46000","0","0","0","0","0","0","-2776312"
"特別利益","0","0","0","0","0","0","0","0","0","0","0","0","0"
"特別損失","0","0","0","0","0","0","0","0","0","0","0","0","0"
"税引前当期純損益金額","-720853","-1609789","-393948","-5722","0","-46000","0","0","0","0","0","0","-2776312"
"法人税等","0","0","0","0","0","0","0","0","0","0","0","0","0"
"法人税等調整額","0","0","0","0","0","0","0","0","0","0","0","0","0"
"当期純損益金額","-720853","-1609789","-393948","-5722","0","-46000","0","0","0","0","0","0","-2776312"
