"月次推移：貸借対照表_株式会社はれのこ（期間：2026年06月～2027年05月、表示単位：円）"
"","期首","2026-06","2026-07","2026-08","2026-09","2026-10","2026-11","2026-12","2027-01","2027-02","2027-03","2027-04","2027-05"
"資産の部","","","","","","","","","","","","",""
"流動資産","","","","","","","","","","","","",""
"GMOあおぞらネット（法人）（API） 102 法人第二営業部 普通預金（有利息） ***1461","326288","234673","53947","265813","306091","306091","306091","306091","306091","306091","306091","306091","306091"
"岩手（法人）（API）","180198","687954","453469","332259","332259","332259","332259","332259","332259","332259","332259","332259","332259"
"岩手銀行_2247974","141","141","141","141","141","141","141","141","141","141","141","141","141"
"売掛金","0","0","0","0","0","0","0","0","0","0","0","0","0"
"立替金","382992","382992","382992","382992","382992","382992","382992","382992","382992","382992","382992","382992","382992"
"前払費用","196100","196100","196100","196100","196100","196100","196100","196100","196100","196100","196100","196100","196100"
"未収還付法人税等","310633","310633","310633","55700","55700","55700","55700","55700","55700","55700","55700","55700","55700"
"未収入金","0","61678","123341","123341","123341","123341","123341","123341","123341","123341","123341","123341","123341"
"仮払金","550000","0","0","0","0","0","0","0","0","0","0","0","0"
"流動資産 計","1946352","1874171","1520623","1356346","1396624","1396624","1396624","1396624","1396624","1396624","1396624","1396624","1396624"
"固定資産","","","","","","","","","","","","",""
"有形固定資産","","","","","","","","","","","","",""
"建物","0","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000"
"土地","62319964","62319964","62319964","62319964","62319964","62319964","62319964","62319964","62319964","62319964","62319964","62319964","62319964"
"建設仮勘定","4090000","4090000","104196900","366196900","366196900","366196900","366196900","366196900","366196900","366196900","366196900","366196900","366196900"
"有形固定資産 計","66409964","66459964","166566864","428566864","428566864","428566864","428566864","428566864","428566864","428566864","428566864","428566864","428566864"
"無形固定資産","","","","","","","","","","","","",""
"投資その他の資産","","","","","","","","","","","","",""
"長期貸付金","1272961","1272961","1272961","1272961","1272961","1272961","1272961","1272961","1272961","1272961","1272961","1272961","1272961"
"保険積立金","1470000","1470000","1470000","1470000","1470000","1470000","1470000","1470000","1470000","1470000","1470000","1470000","1470000"
"投資その他の資産 計","2742961","2742961","2742961","2742961","2742961","2742961","2742961","2742961","2742961","2742961","2742961","2742961","2742961"
"固定資産 計","69152925","69202925","169309825","431309825","431309825","431309825","431309825","431309825","431309825","431309825","431309825","431309825","431309825"
"資産 計","71099277","71077096","170830448","432666171","432706449","432706449","432706449","432706449","432706449","432706449","432706449","432706449","432706449"
"負債の部","","","","","","","","","","","","",""
"流動負債","","","","","","","","","","","","",""
"役員借入金","2459000","2550400","3596400","4166400","4212400","4212400","4258400","4258400","4258400","4258400","4258400","4258400","4258400"
"未払金","756366","1315905","619877","589492","589492","589492","589492","589492","589492","589492","589492","589492","589492"
"未払法人税等","36000","36000","0","0","0","0","0","0","0","0","0","0","0"
"預り金","194230","241963","191132","-118812","-118812","-118812","-118812","-118812","-118812","-118812","-118812","-118812","-118812"
"流動負債 計","3445596","4144268","4407409","4637080","4683080","4683080","4729080","4729080","4729080","4729080","4729080","4729080","4729080"
"固定負債","","","","","","","","","","","","",""
"長期借入金","70556000","70556000","171656000","433656000","433656000","433656000","433656000","433656000","433656000","433656000","433656000","433656000","433656000"
"固定負債 計","70556000","70556000","171656000","433656000","433656000","433656000","433656000","433656000","433656000","433656000","433656000","433656000","433656000"
"負債 計","74001596","74700268","176063409","438293080","438339080","438339080","438385080","438385080","438385080","438385080","438385080","438385080","438385080"
"純資産の部","","","","","","","","","","","","",""
"株主資本","","","","","","","","","","","","",""
"資本金","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000"
"資本剰余金","","","","","","","","","","","","",""
"資本剰余金 計","0","0","0","0","0","0","0","0","0","0","0","0","0"
"利益剰余金","","","","","","","","","","","","",""
"その他利益剰余金","","","","","","","","","","","","",""
"繰越利益剰余金","-3002319","-3002319","-3002319","-3002319","-3002319","-3002319","-3002319","-3002319","-3002319","-3002319","-3002319","-3002319","-3002319"
"当期純損益金額","0","-720853","-2330642","-2724590","-2730312","-2730312","-2776312","-2776312","-2776312","-2776312","-2776312","-2776312","-2776312"
"その他利益剰余金 計","-3002319","-3723172","-5332961","-5726909","-5732631","-5732631","-5778631","-5778631","-5778631","-5778631","-5778631","-5778631","-5778631"
"利益剰余金 計","-3002319","-3723172","-5332961","-5726909","-5732631","-5732631","-5778631","-5778631","-5778631","-5778631","-5778631","-5778631","-5778631"
"株主資本 計","-2902319","-3623172","-5232961","-5626909","-5632631","-5632631","-5678631","-5678631","-5678631","-5678631","-5678631","-5678631","-5678631"
"評価・換算差額等","","","","","","","","","","","","",""
"評価・換算差額等 計","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新株予約権","","","","","","","","","","","","",""
"新株予約権 計","0","0","0","0","0","0","0","0","0","0","0","0","0"
"純資産 計","-2902319","-3623172","-5232961","-5626909","-5632631","-5632631","-5678631","-5678631","-5678631","-5678631","-5678631","-5678631","-5678631"
"負債及び純資産 計","71099277","71077096","170830448","432666171","432706449","432706449","432706449","432706449","432706449","432706449","432706449","432706449","432706449"
