"月次推移：損益計算書_医療法人きたかみ腎クリニック（期間：2025年08月～2026年07月、表示単位：円）"
"","2025-08","2025-09","2025-10","2025-11","2025-12","2026-01","2026-02","2026-03","2026-04","2026-05","2026-06","2026-07","期間累計"
"売上高","","","","","","","","","","","","",""
"その他医業収入","106109","180036","848531","1239850","492669","260979","215027","189945","293159","267556","423117","998593","5515571"
"社保収入　きたかみ","9007114","9420536","5726999","7424019","10474724","11251073","8317955","10212614","9605486","10374409","9056939","10032516","110904384"
"国保収入　きたかみ","25359316","26307585","20333907","23455314","36768593","28967588","25540472","26454536","25889126","28121220","28909651","31520514","327627822"
"売上高 計","34472539","35908157","26909437","32119183","47735986","40479640","34073454","36857095","35787771","38763185","38389707","42551623","444047777"
"売上原価","","","","","","","","","","","","",""
"売上原価","12859214","8944428","10969787","9605014","9851009","7709826","8169631","8678514","11174654","7698861","8797382","4605718","109064038"
"期首商品棚卸","5661748","0","0","0","0","0","0","0","0","0","0","0","5661748"
"期首商品棚卸高","5661748","0","0","0","0","0","0","0","0","0","0","0","5661748"
"当期商品仕入","7197466","8944428","10969787","9605014","9851009","7709826","8169631","8678514","11174654","7698861","8797382","9065640","107862212"
"診療材料費","4702192","6085923","7787057","6886874","6985241","5760160","5854527","6325635","8851428","5208956","6518456","6489527","77455976"
"委託料","1494931","1725057","1882477","1447209","1805053","1462591","1579912","1524606","1565922","1281945","1745856","1612286","19127845"
"衛生費","140737","138146","142701","118296","145933","139222","120028","131148","120800","212537","141690","148606","1699844"
"仕入高","859606","995302","1157552","1152635","914782","347853","615164","697125","636504","995423","391380","815221","9578547"
"他勘定振替高(商)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"期末商品棚卸","0","0","0","0","0","0","0","0","0","0","0","4459922","4459922"
"期末商品棚卸高","0","0","0","0","0","0","0","0","0","0","0","4459922","4459922"
"商品売上原価","12859214","8944428","10969787","9605014","9851009","7709826","8169631","8678514","11174654","7698861","8797382","4605718","109064038"
"売上総損益金額","21613325","26963729","15939650","22514169","37884977","32769814","25903823","28178581","24613117","31064324","29592325","37945905","334983739"
"販売管理費","","","","","","","","","","","","",""
"研修費","0","0","0","0","0","0","1000","0","0","0","0","54600","55600"
"通勤費","186618","185409","258826","193564","180892","293358","175660","250531","276085","235651","210961","242002","2689557"
"役員報酬","4250000","4250000","4250000","4250000","4250000","4250000","4250000","4250000","4250000","4250000","4250000","4250000","51000000"
"給料手当","8291141","8664918","8583380","9166529","8898083","8649927","9042794","8347016","8690879","8623119","8780404","9104742","104842932"
"賞与","0","0","0","0","7877565","0","0","0","0","0","0","4667590","12545155"
