"月次推移：貸借対照表_医療法人きたかみ腎クリニック（期間：2025年08月～2026年07月、表示単位：円）"
"","期首","2025-08","2025-09","2025-10","2025-11","2025-12","2026-01","2026-02","2026-03","2026-04","2026-05","2026-06","2026-07"
"資産の部","","","","","","","","","","","","",""
"流動資産","","","","","","","","","","","","",""
"現金","502612","488050","712044","677436","700890","628350","528999","606890","905960","548470","728170","821186","670554"
"小口現金","139652","447951","322073","357163","549622","279079","382743","384049","369269","272661","199368","287671","520878"
"岩手（法人）（API）","5927261","11625644","7529948","8873827","11565194","7153154","9353129","11522484","9330652","4373970","11201749","9180553","7153477"
"北上信金（法人）（API）","103649","103649","102814","102814","102814","102814","102814","102814","102858","102858","102858","104450","104450"
"岩手医信","1008","808","808","808","808","808","808","808","808","808","808","1286","1286"
"ゆうちょ（法人）（API）","1","1","1","1","1","1","1","1","1","1","1","1","1"
"GMOあおぞらネット（法人）（API） 102 法人第二営業部 普通預金（有利息） ***2223","7869189","10695074","11705770","13405933","20694402","13738667","7856037","22273508","28732830","24609497","19024368","8224355","11812049"
"GMOあおぞらネット銀行_定期","12098214","12098214","12098214","12098214","12098214","12098214","12098214","11098214","11098214","0","0","8500000","8500000"
"七十七（法人）（API）","136179","140606","140606","173906","173906","173906","173906","174052","174052","174052","174052","174052","174052"
"GMOあおぞらネット銀行_外貨預金","10028","10028","10028","10028","10028","10028","10028","10028","10028","10028","0","0","0"
"貸倒引当金(売)","-388900","-388900","-388900","-388900","-388900","-388900","-388900","-388900","-388900","-388900","-388900","-388900","-449800"
"医業未収金","64358682","64960947","65975683","65600413","64510097","76181538","82059864","68795803","65034163","67812831","69554841","70858948","74503455"
"医薬品材料","5661748","0","0","0","0","0","0","0","0","0","0","0","4459922"
"貯蔵品","238905","0","0","0","0","0","0","0","0","0","0","0","288381"
"未収消費税","319700","319700","319700","319700","319700","319700","0","0","0","0","0","0","0"
"立替金","1988321","1988321","1988321","1988321","1988321","1988321","1988321","1988321","1988321","1988321","1988321","1988321","0"
"前払費用","1366200","560100","529262","516300","533961","486061","475194","425094","663194","835544","1072111","1041211","88468"
"立替金松本分","0","0","0","0","0","0","0","0","0","0","0","0","0"
"短期貸付金","37640434","35640434","34640434","34640434","32640434","31640434","31640434","30640434","28640434","35978227","35978227","33578227","0"
"未収入金","464025","464245","463365","463365","463365","462925","462925","463145","463365","463365","463805","464245","4422238"
"立替金長谷分","0","-4510","-8360","-16020","-28800","-35560","-39520","-43830","-50349","-53964","-55410","-55410","0"
"仮払金","0","0","0","0","0","0","0","0","0","0","0","0","0"
"流動資産 計","138436908","139150362","136141811","138823743","145934057","144839540","146704997","148052915","147074900","136727769","140044369","134780196","112249411"
"固定資産","","","","","","","","","","","","",""
"有形固定資産","","","","","","","","","","","","",""
"建物附属設備","1257649","1257649","1257649","1257649","1257649","1257649","1257649","1257649","1257649","1532649","1532649","1532649","1143360"
"建物","126662759","126662759","126662759","126662759","126662759","126662759","126662759","126662759","126662759","126662759","126662759","126662759","114429037"
"車両運搬具","2","2","2","2","2","2","2","2","2368231","2368231","2368231","2368231","1381469"
"工具器具備品","20582681","20582681","20582681","20582681","20582681","20582672","20582672","35982672","44562672","47973472","48828472","48828472","35118266"
"一括償却資産","0","0","0","0","0","0","0","0","0","299000","580930","580930","449121"
"有形固定資産 計","148503091","148503091","148503091","148503091","148503091","148503082","148503082","163903082","174851311","178836111","179973041","179973041","152521253"
"無形固定資産","","","","","","","","","","","","",""
"ソフトウェア","1086984","1086984","1086984","1086984","1086984","1086984","1548984","1548984","1548984","1548984","1548984","1548984","1188624"
"無形固定資産 計","1086984","1086984","1086984","1086984","1086984","1086984","1548984","1548984","1548984","1548984","1548984","1548984","1188624"
"投資その他の資産","","","","","","","","","","","","",""
"出資金","140000","140000","140000","140000","140000","140000","140000","140000","140000","140000","140000","140000","140000"
"差入保証金","0","0","0","0","0","0","0","0","0","0","106000","106000","106000"
"長期貸付金","0","0","0","0","0","0","0","0","0","0","0","0","99390130"
"長期前払費用","1186667","1186667","1186667","1186667","1186667","1186667","1186667","1186667","1186667","1186667","1186667","1186667","766667"
