"月次推移：損益計算書_株式会社Appdate（期間：2020年04月～2021年03月、表示単位：円）"
"","2020-04","2020-05","2020-06","2020-07","2020-08","2020-09","2020-10","2020-11","2020-12","2021-01","2021-02","2021-03","期間累計"
"売上高","","","","","","","","","","","","",""
"売上高","166100","221100","188100","132000","589000","286000","1028830","661320","715000","554400","823900","790900","6156650"
"売上高 計","166100","221100","188100","132000","589000","286000","1028830","661320","715000","554400","823900","790900","6156650"
"売上原価","","","","","","","","","","","","",""
"売上原価","40000","80000","80000","80000","80000","80000","40000","274300","147800","147800","367800","343050","1760750"
"期首商品棚卸","0","0","0","0","0","0","0","0","0","0","0","0","0"
"当期商品仕入","40000","80000","80000","80000","80000","80000","40000","274300","147800","147800","367800","343050","1760750"
"外注費（売上原価）","40000","80000","80000","80000","80000","80000","40000","274300","147800","147800","367800","343050","1760750"
"他勘定振替高(商)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"期末商品棚卸","0","0","0","0","0","0","0","0","0","0","0","0","0"
"商品売上原価","40000","80000","80000","80000","80000","80000","40000","274300","147800","147800","367800","343050","1760750"
"売上総損益金額","126100","141100","108100","52000","509000","206000","988830","387020","567200","406600","456100","447850","4395900"
"販売管理費","","","","","","","","","","","","",""
"役員報酬","17990","17990","17990","17990","17990","17990","17990","17990","17990","17990","17990","17990","215880"
"給料手当","429910","423990","423990","423990","455328","432961","223475","222726","205872","256515","292508","277477","4068742"
"雑給","62575","25280","28045","6320","35814","23700","28415","39750","2370","4725","0","9480","266474"
"法定福利費","37178","-7418","138020","69010","69010","69010","0","114908","0","40120","40120","79391","649349"
"福利厚生費","0","0","0","0","0","0","0","0","0","0","0","11000","11000"
"広告宣伝費","0","0","0","0","0","0","0","0","0","55000","0","0","55000"
"交際費","0","0","0","0","35640","0","108658","65736","10800","0","0","0","220834"
"会議費","2420","0","5487","0","20220","7799","4730","930","0","0","0","6690","48276"
"旅費交通費","7970","6861","162352","58965","166757","109859","8408","8084","9250","5864","10278","15750","570398"
"通信費","16417","900","13686","10008","30991","1954","3476","1510","660","8102","4585","770","93059"
"消耗品費","12346","2244","1850","3777","27741","864","14434","1094","864","864","27836","2384","96298"
"修繕費","0","0","0","0","0","0","0","0","58300","0","0","49500","107800"
"新聞図書費","28604","0","0","0","0","0","0","0","0","0","0","24200","52804"
"諸会費","500","500","500","500","500","500","1875","500","500","500","500","500","7375"
"支払手数料","978162","377357","512206","434841","184522","94501","58764","99544","117622","61522","40296","66724","3026061"
"地代家賃","35000","204800","91800","35300","91800","91800","91800","91800","-8350","70000","0","-55001","740749"
"保険料","15000","0","0","0","0","0","0","0","0","0","0","0","15000"
"租税公課","1100","0","400","300","400","0","300","0","40000","0","0","0","42500"
"減価償却費","60550","60550","60550","60550","60550","60550","60550","60550","60550","60550","60550","60550","726600"
"雑費","0","0","0","0","0","0","0","70000","0","70000","0","0","140000"
"販売管理費 計","1705722","1113054","1456876","1121551","1197263","911488","622875","795122","516428","651752","494663","567405","11154199"
"営業損益金額","-1579622","-971954","-1348776","-1069551","-688263","-705488","365955","-408102","50772","-245152","-38563","-119555","-6758299"
"営業外収益","0","0","919","0","2000000","6","0","0","0","375488","0","2387","2378800"
"受取利息","0","0","0","0","0","6","0","0","0","0","0","7","13"
"雑収入","0","0","919","0","2000000","0","0","0","0","375488","0","2380","2378787"
"営業外費用","0","0","0","0","0","5419","3760","3852","3695","3785","3752","3359","27622"
"支払利息","0","0","0","0","0","5419","3760","3852","3695","3785","3752","3359","27622"
"経常損益金額","-1579622","-971954","-1347857","-1069551","1311737","-710901","362195","-411954","47077","126551","-42315","-120527","-4407121"
"特別利益","0","0","0","0","0","0","0","0","0","0","0","0","0"
"特別損失","0","0","0","0","0","0","0","0","0","0","0","0","0"
"税引前当期純損益金額","-1579622","-971954","-1347857","-1069551","1311737","-710901","362195","-411954","47077","126551","-42315","-120527","-4407121"
"法人税等","0","0","0","0","0","0","0","0","0","0","0","180000","180000"
"法人税等","0","0","0","0","0","0","0","0","0","0","0","180000","180000"
"法人税等調整額","0","0","0","0","0","0","0","0","0","0","0","0","0"
"当期純損益金額","-1579622","-971954","-1347857","-1069551","1311737","-710901","362195","-411954","47077","126551","-42315","-300527","-4587121"
