"月次推移：損益計算書_株式会社Appdate（期間：2021年04月～2022年03月、表示単位：円）"
"","2021-04","2021-05","2021-06","2021-07","2021-08","2021-09","2021-10","2021-11","2021-12","2022-01","2022-02","2022-03","期間累計"
"売上高","","","","","","","","","","","","",""
"売上高","907280","981860","1034880","1020800","897600","1204032","1209285","2084335","1535930","909100","1149170","983400","13917672"
"売上高 計","907280","981860","1034880","1020800","897600","1204032","1209285","2084335","1535930","909100","1149170","983400","13917672"
"売上原価","","","","","","","","","","","","",""
"売上原価","278300","366300","371800","404800","393800","434500","527863","490739","467500","506000","599925","559350","5400877"
"期首商品棚卸","0","0","0","0","0","0","0","0","0","0","0","0","0"
"当期商品仕入","278300","366300","371800","404800","393800","434500","527863","490739","467500","506000","599925","559350","5400877"
"外注費（売上原価）","278300","366300","371800","404800","393800","434500","527863","490739","467500","506000","599925","559350","5400877"
"他勘定振替高(商)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"期末商品棚卸","0","0","0","0","0","0","0","0","0","0","0","0","0"
"商品売上原価","278300","366300","371800","404800","393800","434500","527863","490739","467500","506000","599925","559350","5400877"
"売上総損益金額","628980","615560","663080","616000","503800","769532","681422","1593596","1068430","403100","549245","424050","8516795"
"販売管理費","","","","","","","","","","","","",""
"役員報酬","17990","17990","17990","17990","17990","17990","17990","17990","17990","17990","17990","17990","215880"
"給料手当","261363","263246","270205","273912","257941","290226","352334","231702","229990","229990","261315","254990","3177214"
"雑給","6320","7374","15800","4740","0","22120","0","5530","27479","2863","14060","11060","117346"
"法定福利費","78915","39861","0","90905","125774","51462","0","49012","49012","98024","49012","49051","681028"
"広告宣伝費","0","0","137500","0","0","0","0","0","0","0","0","0","137500"
"交際費","20000","0","0","0","0","0","49260","25000","0","10000","0","0","104260"
"会議費","0","0","0","0","0","0","0","9940","0","0","0","0","9940"
"旅費交通費","3478","5889","3434","5436","1796","1446","13184","0","0","3572","7669","1906","47810"
"通信費","5008","110","6994","110","1220","11374","3894","110","110","3700","5290","6710","44630"
"消耗品費","16387","864","864","1605","864","55860","0","0","0","2368","0","0","78812"
"新聞図書費","0","0","0","0","0","0","0","0","0","0","0","29500","29500"
"諸会費","500","500","500","500","500","0","0","0","0","0","0","0","2500"
"支払手数料","54750","58805","164020","54909","119483","98507","49236","46495","47480","49699","50590","48685","842659"
"保険料","0","0","0","0","23580","0","0","0","0","0","0","0","23580"
"租税公課","200","0","0","0","0","0","0","0","0","1600","0","0","1800"
"減価償却費","60550","60550","60550","60550","60550","60550","31120","31120","31120","31120","31120","31120","550020"
"販売管理費 計","525461","455189","677857","510657","609698","609535","517018","416899","403181","450926","437046","451012","6064479"
"営業損益金額","103519","160371","-14777","105343","-105898","159997","164404","1176697","665249","-47826","112199","-26962","2452316"
"営業外収益","5024","0","0","0","0","3","0","0","0","0","0","8","5035"
"受取利息","0","0","0","0","0","3","0","0","0","0","0","8","11"
"雑収入","5024","0","0","0","0","0","0","0","0","0","0","0","5024"
"営業外費用","3686","3535","3619","3470","0","3499","3374","3453","3310","3387","3354","2999","37686"
"支払利息","3686","3535","3619","3470","0","3499","3374","3453","3310","3387","3354","2999","37686"
"経常損益金額","104857","156836","-18396","101873","-105898","156501","161030","1173244","661939","-51213","108845","-29953","2419665"
"特別利益","0","0","0","0","0","0","0","0","0","0","0","0","0"
"特別損失","0","0","0","0","0","0","0","0","0","0","0","0","0"
"税引前当期純損益金額","104857","156836","-18396","101873","-105898","156501","161030","1173244","661939","-51213","108845","-29953","2419665"
"法人税等","0","0","0","0","0","0","0","0","0","0","0","180000","180000"
"法人税等","0","0","0","0","0","0","0","0","0","0","0","180000","180000"
"法人税等調整額","0","0","0","0","0","0","0","0","0","0","0","0","0"
"当期純損益金額","104857","156836","-18396","101873","-105898","156501","161030","1173244","661939","-51213","108845","-209953","2239665"
