"月次推移：貸借対照表_株式会社Appdate（期間：2023年04月～2024年03月、表示単位：円）"
"","期首","2023-04","2023-05","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2024-01","2024-02","2024-03"
"資産の部","","","","","","","","","","","","",""
"流動資産","","","","","","","","","","","","",""
"楽天（法人）","3123975","1924600","2416920","2133903","2491215","2888558","2949225","3866869","3961703","4320946","4495834","2237083","2067101"
"三菱ＵＦＪ（法人）（API）","379786","268946","157381","345710","223779","91435","272098","150766","309435","490057","670820","853346","1036230"
"売掛金","1203400","1097792","1354650","1107150","1169850","1099450","1652640","1236840","1379565","1026850","1566840","753500","1293154"
"役員貸付金","0","0","0","0","0","0","0","0","0","0","0","3000000","2989119"
"未収還付法人税等","2","2","0","0","0","0","0","0","0","0","0","0","3"
"未収入金","9062","1266","2846","9840","2846","1652","3232","1652","3232","1266","2302","826","826"
"仮払税金","0","0","0","0","0","0","1","1","1","1","1","1","0"
"流動資産 計","4716225","3292606","3931797","3596603","3887690","4081095","4877196","5256128","5653936","5839120","6735797","6844756","7386433"
"固定資産","","","","","","","","","","","","",""
"有形固定資産","","","","","","","","","","","","",""
"無形固定資産","","","","","","","","","","","","",""
"ソフトウェア仮勘定","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400"
"無形固定資産 計","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400"
"投資その他の資産","","","","","","","","","","","","",""
"固定資産 計","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400"
"資産 計","6909625","5486006","6125197","5790003","6081090","6274495","7070596","7449528","7847336","8032520","8929197","9038156","9579833"
"負債の部","","","","","","","","","","","","",""
"流動負債","","","","","","","","","","","","",""
"役員借入金","2069070","211305","391305","8574","8574","8574","8574","8574","8574","8574","8574","8574","0"
"未払金","8296","8296","154956","41356","78016","78016","113936","113936","113936","113496","113392","113392","0"
"未払費用","754422","782423","868981","890869","799521","762396","782669","905212","925753","873743","907179","803701","1010084"
"JCBカード","21191","22042","22089","32472","22791","24527","46676","45342","23737","23444","21780","25058","28270"
"未払法人税等","180000","180000","0","0","0","0","0","0","0","0","0","0","180000"
"未払消費税等","0","0","0","0","0","0","0","0","0","0","0","0","557900"
"預り金","155975","179405","208381","38481","58290","78332","100068","125192","144387","164196","48210","69947","113128"
"仮受金","0","0","0","0","0","0","0","0","0","0","0","0","0"
"流動負債 計","3188954","1383471","1645712","1011752","967192","951845","1051923","1198256","1216387","1183453","1099135","1020672","1889382"
"固定負債","","","","","","","","","","","","",""
"長期借入金","7395000","7310000","7225000","7140000","7055000","6970000","6885000","6800000","6715000","6630000","6545000","6460000","6375000"
"固定負債 計","7395000","7310000","7225000","7140000","7055000","6970000","6885000","6800000","6715000","6630000","6545000","6460000","6375000"
"負債 計","10583954","8693471","8870712","8151752","8022192","7921845","7936923","7998256","7931387","7813453","7644135","7480672","8264382"
"純資産の部","","","","","","","","","","","","",""
"株主資本","","","","","","","","","","","","",""
"資本金","18006000","18006000","18006000","18006000","18006000","18006000","18006000","18006000","18006000","18006000","18006000","18006000","18006000"
"資本剰余金","","","","","","","","","","","","",""
"資本準備金","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000"
"資本剰余金 計","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000"
"利益剰余金","","","","","","","","","","","","",""
"その他利益剰余金","","","","","","","","","","","","",""
"繰越利益剰余金","-33686329","-33686329","-33686329","-33686329","-33686329","-33686329","-33686329","-33686329","-33686329","-33686329","-33686329","-33686329","-28696549"
"当期純損益金額","0","466864","928814","1312580","1733227","2026979","2808002","3125601","3590278","3893396","4959391","5231813","0"
"その他利益剰余金 計","-33686329","-33219465","-32757515","-32373749","-31953102","-31659350","-30878327","-30560728","-30096051","-29792933","-28726938","-28454516","-28696549"
"利益剰余金 計","-33686329","-33219465","-32757515","-32373749","-31953102","-31659350","-30878327","-30560728","-30096051","-29792933","-28726938","-28454516","-28696549"
"株主資本 計","-3674329","-3207465","-2745515","-2361749","-1941102","-1647350","-866327","-548728","-84051","219067","1285062","1557484","1315451"
"評価・換算差額等","","","","","","","","","","","","",""
"評価・換算差額等 計","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新株予約権","","","","","","","","","","","","",""
"新株予約権 計","0","0","0","0","0","0","0","0","0","0","0","0","0"
"純資産 計","-3674329","-3207465","-2745515","-2361749","-1941102","-1647350","-866327","-548728","-84051","219067","1285062","1557484","1315451"
"負債及び純資産 計","6909625","5486006","6125197","5790003","6081090","6274495","7070596","7449528","7847336","8032520","8929197","9038156","9579833"
