"月次推移：貸借対照表_株式会社Appdate（期間：2025年04月～2026年03月、表示単位：円）"
"","期首","2025-04","2025-05","2025-06","2025-07","2025-08","2025-09","2025-10","2025-11","2025-12","2026-01","2026-02","2026-03"
"資産の部","","","","","","","","","","","","",""
"流動資産","","","","","","","","","","","","",""
"楽天（法人）","3652903","2226639","2080222","2358145","922589","1455053","1428634","954565","783111","1836054","2973384","2819044","1081781"
"三菱ＵＦＪ（法人）（API）","196949","382088","214127","98953","327611","201263","387998","274624","460036","344587","208248","394004","563132"
"coincheck","0","8000000","26000000","26000000","26000000","26000000","26000000","29800000","29800000","15920243","15920243","15920243","4404286"
"bybit","0","0","0","0","0","0","0","0","0","0","0","0","13812994"
"SBI_FX","0","0","0","200000","1300000","1300000","1300000","2300000","2300000","2300000","2300000","2300000","1393716"
"七十七（法人）（API）","0","0","0","0","0","60000","60000","45000","40000","35000","30000","25038","80038"
"売掛金","918500","686950","860586","528826","980266","671826","710286","651883","1253336","1633138","908294","788058","700008"
"短期貸付金","6252348","0","0","0","0","0","0","0","0","0","0","0","0"
"未収還付法人税等","235","235","235","0","0","0","0","0","0","0","0","0","547"
"未収入金","1966","-14056","-28410","-28410","-32902","-32902","-28410","-28410","-28410","-28410","-28410","-28410","0"
"仮払金","0","0","0","165825","0","0","0","0","0","0","0","0","0"
"仮払税金","0","0","0","0","0","0","274","274","274","274","274","280","0"
"流動資産 計","11022901","11281856","29126760","29323339","29497564","29655240","29858782","33997936","34608347","22040886","22312033","22218257","22036502"
"固定資産","","","","","","","","","","","","",""
"有形固定資産","","","","","","","","","","","","",""
"無形固定資産","","","","","","","","","","","","",""
"ソフトウェア仮勘定","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400"
"無形固定資産 計","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400"
"投資その他の資産","","","","","","","","","","","","",""
"保険積立金","0","0","0","0","0","0","0","15000","20000","25000","30000","35000","40000"
"投資その他の資産 計","0","0","0","0","0","0","0","15000","20000","25000","30000","35000","40000"
"固定資産 計","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2208400","2213400","2218400","2223400","2228400","2233400"
"資産 計","13216301","13475256","31320160","31516739","31690964","31848640","32052182","36206336","36821747","24259286","24535433","24446657","24269902"
"負債の部","","","","","","","","","","","","",""
"流動負債","","","","","","","","","","","","",""
"役員借入金","0","81621","18581621","18582821","18692293","18693393","18693393","22793393","22793393","9193393","9193393","9193393","7693393"
"未払金","1140","167405","166579","166965","1966","1966","826","958","1158","1158","416","2116","1730"
"未払費用","827848","644973","657348","827848","709598","816298","945273","930560","903060","1163623","1334673","1173798","1050408"
"JCBカード","29115","78480","25670","32133","24798","24118","24514","27399","26978","25346","25821","42975","19970"
"未払法人税等","184500","184500","0","0","0","0","0","0","0","0","0","0","185000"
"未払消費税等","552800","552800","0","0","0","0","0","0","0","0","0","0","471400"
"預り金","105765","110257","114749","119241","9769","14261","18753","23245","27737","32229","14261","18753","23245"
"流動負債 計","1701168","1820036","19545967","19729008","19438424","19550036","19682759","23775555","23752326","10415749","10568564","10431035","9445146"
"固定負債","","","","","","","","","","","","",""
"長期借入金","5355000","5270000","5185000","5100000","5015000","4930000","4845000","4760000","4675000","4590000","4505000","4420000","4335000"
"固定負債 計","5355000","5270000","5185000","5100000","5015000","4930000","4845000","4760000","4675000","4590000","4505000","4420000","4335000"
"負債 計","7056168","7090036","24730967","24829008","24453424","24480036","24527759","28535555","28427326","15005749","15073564","14851035","13780146"
"純資産の部","","","","","","","","","","","","",""
"株主資本","","","","","","","","","","","","",""
"資本金","18006000","18006000","18006000","18006000","18006000","18006000","18006000","18006000","18006000","18006000","18006000","18006000","18006000"
"資本剰余金","","","","","","","","","","","","",""
"資本準備金","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000"
"資本剰余金 計","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000"
"利益剰余金","","","","","","","","","","","","",""
"その他利益剰余金","","","","","","","","","","","","",""
"繰越利益剰余金","-23851867","-23851867","-23851867","-23851867","-23851867","-23851867","-23851867","-23851867","-23851867","-23851867","-23851867","-23851867","-19522244"
"当期純損益金額","0","225087","429060","527598","1077407","1208471","1364290","1510648","2234288","3093404","3301736","3435489","0"
"その他利益剰余金 計","-23851867","-23626780","-23422807","-23324269","-22774460","-22643396","-22487577","-22341219","-21617579","-20758463","-20550131","-20416378","-19522244"
"利益剰余金 計","-23851867","-23626780","-23422807","-23324269","-22774460","-22643396","-22487577","-22341219","-21617579","-20758463","-20550131","-20416378","-19522244"
"株主資本 計","6160133","6385220","6589193","6687731","7237540","7368604","7524423","7670781","8394421","9253537","9461869","9595622","10489756"
"評価・換算差額等","","","","","","","","","","","","",""
"評価・換算差額等 計","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新株予約権","","","","","","","","","","","","",""
"新株予約権 計","0","0","0","0","0","0","0","0","0","0","0","0","0"
"純資産 計","6160133","6385220","6589193","6687731","7237540","7368604","7524423","7670781","8394421","9253537","9461869","9595622","10489756"
"負債及び純資産 計","13216301","13475256","31320160","31516739","31690964","31848640","32052182","36206336","36821747","24259286","24535433","24446657","24269902"
