"","勘定科目","補助科目","10月","11月","12月","1月","2月","3月","4月","5月","6月","7月","8月","9月","決算整理"
"資産の部"
"流動資産"
"現金及び預金"
"","現金","","1080000","1080000","1080000","1080000","1080000","1080000","1080000","1080000","1080000","1080000","1080000","1080000","1080000"
"","普通預金","","1406716","5934326","2226653","1590721","4525882","2340013","1897469","1465067","2147519","5210369","3642984","659222","659222"
"","","住信SBIネット銀行_代表口座","440235","5066142","1509327","930440","3911590","1453351","1041080","484209","339635","574401","3220579","245753","245753"
"","","七十七銀行_石巻支店","740812","722412","578312","530154","518057","505957","505957","505957","5407","5407","5408","5408","5408"
"","","山形銀行","225669","145772","139014","130127","96235","84548","65275","64175","0","0","0","0","0"
"","","七十七銀行_旭ヶ丘支店","0","0","0","0","0","296157","285157","410726","272816","134906","416997","405997","405997"
"","","住信SBIネット銀行_ハイブリッド預金","0","0","0","0","0","0","0","0","1529661","4495655","0","2064","2064"
"現金及び預金合計","","","2486716","7014326","3306653","2670721","5605882","3420013","2977469","2545067","3227519","6290369","4722984","1739222","1739222"
"売上債権"
"","売掛金","","0","0","0","0","0","0","0","0","0","0","0","0","55000"
"売上債権合計","","","0","0","0","0","0","0","0","0","0","0","0","0","55000"
"有価証券"
"","有価証券","","2313165","2313165","2313165","2313165","2313165","2313165","2313165","2313165","2313165","2313165","2313165","2313165","2313165"
"","","株式会社Appdate","2313165","2313165","2313165","2313165","2313165","2313165","2313165","2313165","2313165","2313165","2313165","2313165","2313165"
"","","補助科目なし","0","0","0","0","0","0","0","0","0","0","0","0","0"
"有価証券合計","","","2313165","2313165","2313165","2313165","2313165","2313165","2313165","2313165","2313165","2313165","2313165","2313165","2313165"
"棚卸資産"
"棚卸資産合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"その他流動資産"
"","前払金","","0","0","0","0","0","0","500000","0","0","0","0","0","0"
"","","安中市原市戸建て","0","0","0","0","0","0","500000","0","0","0","0","0","0"
"","未収還付税金","","0","0","0","0","0","0","0","0","0","0","0","0","216900"
"","仮払金","","0","223955","0","0","0","75705","75705","0","0","0","0","0","0"
"","前払費用","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","北中山オフィス","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","預託証拠金","","21002245","9727243","7339480","6793858","3861854","3517276","3581549","3667668","3589968","3528136","13131","13404","11773"
"","","bit flyer","1953","1953","1953","1953","1953","1953","1953","1953","1953","1953","1953","1953","1940"
"","","QUOINEX","2301","2301","2301","2301","2301","2301","2301","2301","2301","2301","2301","2301","0"
"","","CoinCheck","8549256","0","0","0","0","0","0","0","1062577","1012913","0","0","0"
"","","zaif","70","70","70","70","70","70","70","70","70","70","70","70","69"
"","","TAOTAO","0","5991108","6038473","3051594","0","0","0","0","0","0","0","0","0"
"","","Bybit","12448665","3731811","1296683","3737940","3857530","3512952","3577225","3663344","2523067","2510899","8807","9080","9764"
"","SBI証券","","0","0","0","0","0","0","0","0","6470339","2904365","7400056","6379412","6379412"
"その他流動資産合計","","","21002245","9951198","7339480","6793858","3861854","3592981","4157254","3667668","10060307","6432501","7413187","6392816","6608085"
"流動資産合計","","","25802126","19278689","12959298","11777744","11780901","9326159","9447888","8525900","15600991","15036035","14449336","10445203","10715472"
"固定資産"
"有形固定資産"
"","建物","","0","0","0","0","0","38027620","38027620","41443223","41443223","41443223","41443223","41443223","40347610"
"","","ライオンズタワー広瀬建物","0","0","0","0","0","38027620","38027620","38198276","38198276","38198276","38198276","38198276","37440678"
"","","安中原市建物","0","0","0","0","0","0","0","3244947","3244947","3244947","3244947","3244947","2906932"
"","工具器具備品","","0","0","0","0","0","0","0","0","0","102798","102798","102798","0"
"","土地","","0","0","0","0","0","1972380","1972380","9543924","9543924","9543924","9543924","9543924","9543924"
"","","安中原市土地","0","0","0","0","0","0","0","7571544","7571544","7571544","7571544","7571544","7571544"
"","","ライオンズタワー広瀬土地","0","0","0","0","0","1972380","1972380","1972380","1972380","1972380","1972380","1972380","1972380"
"有形固定資産合計","","","0","0","0","0","0","40000000","40000000","50987147","50987147","51089945","51089945","51089945","49891534"
"無形固定資産"
