"","勘定科目","補助科目","10月","11月","12月","1月","2月","3月","4月","5月","6月","7月","8月","9月","決算整理","合計"
"売上高"
"","賃料収入","","330000","330000","330000","250000","250000","250000","250000","250000","250000","250000","250000","250000","0","3240000"
"","","安中原市","80000","80000","80000","0","0","0","0","0","0","0","0","0","0","240000"
"","","ライオンズタワー広瀬","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","0","3000000"
"","売上高","","0","110000","0","0","0","0","0","0","0","0","0","0","0","110000"
"売上高合計","","","330000","440000","330000","250000","250000","250000","250000","250000","250000","250000","250000","250000","0","3350000"
"売上原価"
"売上原価合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"売上総利益","","","330000","440000","330000","250000","250000","250000","250000","250000","250000","250000","250000","250000","0","3350000"
"販売費及び一般管理費"
"","役員報酬","","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","0","600000"
"","","榎本加奈恵","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","0","600000"
"","減価償却費","","0","0","0","0","0","0","0","0","0","0","0","0","2516267","2516267"
"","消耗品費","","19056","5604","0","0","0","0","5221","0","0","0","0","0","0","29881"
"","旅費交通費","","0","0","0","1200","0","0","0","0","0","0","0","0","0","1200"
"","租税公課","","7","64007","6","6","6","9","53213","52709","8","51010","508","51010","5401","277900"
"","","自動車税","0","0","0","0","0","0","0","34500","0","0","0","0","0","34500"
"","","不動産取得税","0","64000","0","0","0","0","0","0","0","0","0","0","0","64000"
"","","固定資産税","0","0","0","0","0","0","53200","18200","0","51000","0","51000","6000","179400"
"","","補助科目なし","7","7","6","6","6","9","13","9","8","10","508","10","-599","0"
"","接待交際費","","9431","8951","9173","3366","57525","0","0","0","0","0","0","0","0","88446"
"","保険料","","0","0","0","0","0","0","0","0","0","0","0","51900","30000","81900"
"","通信費","","19666","20744","19407","74935","14459","14096","11137","12128","13069","51706","11125","26919","0","289391"
"","諸会費","","0","0","0","0","0","0","0","0","5900","0","0","-4425","0","1475"
"","車両費","","0","0","0","0","0","0","3300","0","0","0","0","0","0","3300"
"","新聞図書費","","0","1699","0","0","0","0","1210","0","0","0","0","0","0","2909"
"","支払手数料","","55565","49295","181150","49640","49785","149589","87040","43515","55910","51740","45615","58155","0","876999"
"","","辻本郷","11000","11000","143000","11000","11000","11000","11000","11000","11000","11000","11000","11000","0","264000"
"","","補助科目なし","44565","38295","38150","38640","38785","138589","76040","32515","44910","40740","34615","47155","0","612999"
"","雑費","","0","0","0","0","0","0","0","0","0","0","0","0","500","500"
"販売費及び一般管理費合計","","","153725","200300","259736","179147","171775","213694","211121","158352","124887","204456","107248","233559","2552168","4770168"
"営業利益","","","176275","239700","70264","70853","78225","36306","38879","91648","125113","45544","142752","16441","-2552168","-1420168"
"営業外収益"
"","受取利息","","49","48","44","43","43","60","88","60","55","66","83","68","4","711"
"","雑収入","","0","0","0","0","15","1496","0","0","0","0","0","0","0","1511"
"","為替差益","","0","0","0","0","0","0","0","0","0","0","0","0","5208","5208"
"営業外収益合計","","","49","48","44","43","58","1556","88","60","55","66","83","68","5212","7430"
"営業外費用"
"","支払利息","","66975","33347","33254","33160","33066","32972","32878","32784","32690","32596","0","64909","0","428631"
"","","七十七銀行_ライオンズタワー広瀬ローン","66975","33347","33254","33160","33066","32972","32878","32784","32690","32596","0","64909","0","428631"
"","雑損失","","0","0","0","0","0","0","0","0","0","0","0","0","8829","8829"
"","有価証券売却損","","0","0","0","0","0","0","0","0","0","0","0","0","439049","439049"
"","為替差損","","0","0","0","0","0","0","0","0","0","0","0","0","449","449"
"","","bit flyer","0","0","0","0","0","0","0","0","0","0","0","0","445","445"
"","","zaif","0","0","0","0","0","0","0","0","0","0","0","0","4","4"
"営業外費用合計","","","66975","33347","33254","33160","33066","32972","32878","32784","32690","32596","0","64909","448327","876958"
"経常利益","","","109349","206401","37054","37736","45217","4890","6089","58924","92478","13014","142835","-48400","-2995283","-2289696"
"特別利益"
"特別利益合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"特別損失"
"特別損失合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"当期純損益"
"税引前当期純利益","","","109349","206401","37054","37736","45217","4890","6089","58924","92478","13014","142835","-48400","-2995283","-2289696"
"","法人税等","","0","0","0","0","0","0","0","0","0","0","0","0","72103","72103"
"当期純利益","","","109349","206401","37054","37736","45217","4890","6089","58924","92478","13014","142835","-48400","-3067386","-2361799"
