"月次推移：損益計算書_株式会社はれのこ（期間：2024年06月～2025年05月、表示単位：円）"
"","2024-06","2024-07","2024-08","2024-09","2024-10","2024-11","2024-12","2025-01","2025-02","2025-03","2025-04","2025-05","期間累計"
"売上高","","","","","","","","","","","","",""
"売上高","1652000","1652000","1652000","1652000","1652000","1652000","1652000","1652000","1652000","1652000","1652000","1652000","19824000"
"売上高 計","1652000","1652000","1652000","1652000","1652000","1652000","1652000","1652000","1652000","1652000","1652000","1652000","19824000"
"売上原価","","","","","","","","","","","","",""
"売上原価","0","0","0","0","0","0","0","0","0","0","0","0","0"
"期首商品棚卸","0","0","0","0","0","0","0","0","0","0","0","0","0"
"当期商品仕入","0","0","0","0","0","0","0","0","0","0","0","0","0"
"他勘定振替高(商)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"期末商品棚卸","0","0","0","0","0","0","0","0","0","0","0","0","0"
"商品売上原価","0","0","0","0","0","0","0","0","0","0","0","0","0"
"売上総損益金額","1652000","1652000","1652000","1652000","1652000","1652000","1652000","1652000","1652000","1652000","1652000","1652000","19824000"
"販売管理費","","","","","","","","","","","","",""
"研修費","0","0","0","0","0","0","0","56340","0","0","0","0","56340"
"役員報酬","0","0","0","0","0","0","0","0","0","50000","50000","50000","150000"
"給料手当","796466","291199","291199","291199","292399","291199","291199","291199","292399","289999","289999","289999","3998455"
"賞与","0","0","0","0","0","0","0","0","0","0","123261","0","123261"
"法定福利費","107556","269010","107556","107556","107556","42840","42840","42840","42840","42616","53508","72739","1039457"
"福利厚生費","0","0","20000","0","0","0","0","0","0","0","0","0","20000"
"会議費","0","0","0","0","1180","0","0","0","0","0","0","0","1180"
"旅費交通費","24200","8800","19800","24200","66200","27580","26400","35780","31820","31480","28600","22000","346860"
"通信費","8333","43969","6081","11686","4633","6553","6553","8753","44868","10053","52349","11613","215444"
"新聞図書費","1000","0","0","0","420","0","0","0","0","0","0","0","1420"
"支払手数料","385725","385870","655945","569570","386455","385870","386890","386455","386015","385870","111160","110870","4536695"
"地代家賃","0","0","44943","45328","45328","45498","45498","45498","45498","45498","45498","45498","454085"
"保険料","0","0","20000","0","0","0","0","0","0","0","0","0","20000"
"租税公課","1260","0","500","0","800","0","0","0","0","4300","70500","0","77360"
"支払報酬料","22000","154000","22000","22000","22000","22000","22000","22000","22000","22000","84698","22000","458698"
"減価償却費","0","0","0","0","0","0","0","0","0","0","0","46933","46933"
"販売管理費 計","1346540","1152848","1188024","1071539","926971","821540","821380","888865","865440","881816","909573","671652","11546188"
"営業損益金額","305460","499152","463976","580461","725029","830460","830620","763135","786560","770184","742427","980348","8277812"
"営業外収益","1472","1378","1686","1282","1330","1306","1300","1324","1267","1588","1312","1790","17035"
"受取利息","1302","1255","1686","1282","1214","1306","1300","1324","1267","1588","1312","1267","16103"
"雑収入","170","123","0","0","116","0","0","0","0","0","0","523","932"
"営業外費用","0","0","0","0","0","0","0","0","0","0","0","11000","11000"
"雑損失","0","0","0","0","0","0","0","0","0","0","0","11000","11000"
"経常損益金額","306932","500530","465662","581743","726359","831766","831920","764459","787827","771772","743739","971138","8283847"
"特別利益","0","0","0","0","0","0","0","0","0","0","0","0","0"
"特別損失","0","0","0","0","0","0","0","0","0","0","0","0","0"
"税引前当期純損益金額","306932","500530","465662","581743","726359","831766","831920","764459","787827","771772","743739","971138","8283847"
"法人税等","7","2","3","2","3","13","11","8","20","4","15","737328","737416"
"法人税等","7","2","3","2","3","13","11","8","20","4","15","737328","737416"
"法人税等調整額","0","0","0","0","0","0","0","0","0","0","0","0","0"
"当期純損益金額","306925","500528","465659","581741","726356","831753","831909","764451","787807","771768","743724","233810","7546431"
