"月次推移：貸借対照表_株式会社はれのこ（期間：2022年06月～2023年05月、表示単位：円）"
"","期首","2022-06","2022-07","2022-08","2022-09","2022-10","2022-11","2022-12","2023-01","2023-02","2023-03","2023-04","2023-05"
"資産の部","","","","","","","","","","","","",""
"流動資産","","","","","","","","","","","","",""
"GMOあおぞらネット（法人）（API） 102 法人第二営業部 普通預金（有利息） ***1461","0","0","911152","1406094","1908533","2219148","1938107","2571800","2546868","2581750","2764111","2106072","2201292"
"売掛金","0","550000","550000","550000","550000","550000","1100000","550000","550000","550000","1027400","1577400","1577400"
"流動資産 計","0","550000","1461152","1956094","2458533","2769148","3038107","3121800","3096868","3131750","3791511","3683472","3778692"
"固定資産","","","","","","","","","","","","",""
"有形固定資産","","","","","","","","","","","","",""
"無形固定資産","","","","","","","","","","","","",""
"投資その他の資産","","","","","","","","","","","","",""
"固定資産 計","0","0","0","0","0","0","0","0","0","0","0","0","0"
"資産 計","0","550000","1461152","1956094","2458533","2769148","3038107","3121800","3096868","3131750","3791511","3683472","3778692"
"負債の部","","","","","","","","","","","","",""
"流動負債","","","","","","","","","","","","",""
"短期借入金","0","0","500000","500000","500000","500000","500000","500000","500000","500000","500000","500000","500000"
"役員借入金","0","0","0","0","0","0","0","0","8690","8690","8690","8690","8690"
"未払金","0","258061","479035","662428","888526","831211","1105772","1119729","1145057","1146962","1425181","1210142","1183082"
"未払法人税等","0","0","0","0","0","0","0","0","0","0","0","0","505300"
"預り金","0","0","0","0","0","220","8690","21860","13372","13702","14032","14252","14435"
"流動負債 計","0","258061","979035","1162428","1388526","1331431","1614462","1641589","1667119","1669354","1947903","1733084","2211507"
"固定負債","","","","","","","","","","","","",""
"負債 計","0","258061","979035","1162428","1388526","1331431","1614462","1641589","1667119","1669354","1947903","1733084","2211507"
"純資産の部","","","","","","","","","","","","",""
"株主資本","","","","","","","","","","","","",""
"資本金","0","0","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000"
"資本剰余金","","","","","","","","","","","","",""
"資本剰余金 計","0","0","0","0","0","0","0","0","0","0","0","0","0"
"利益剰余金","","","","","","","","","","","","",""
"その他利益剰余金","","","","","","","","","","","","",""
"繰越利益剰余金","0","0","0","0","0","0","0","0","0","0","0","0","1467185"
"当期純損益金額","0","291939","382117","693666","970007","1337717","1323645","1380211","1329749","1362396","1743608","1850388","0"
"その他利益剰余金 計","0","291939","382117","693666","970007","1337717","1323645","1380211","1329749","1362396","1743608","1850388","1467185"
"利益剰余金 計","0","291939","382117","693666","970007","1337717","1323645","1380211","1329749","1362396","1743608","1850388","1467185"
"株主資本 計","0","291939","482117","793666","1070007","1437717","1423645","1480211","1429749","1462396","1843608","1950388","1567185"
"評価・換算差額等","","","","","","","","","","","","",""
"評価・換算差額等 計","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新株予約権","","","","","","","","","","","","",""
"新株予約権 計","0","0","0","0","0","0","0","0","0","0","0","0","0"
"純資産 計","0","291939","482117","793666","1070007","1437717","1423645","1480211","1429749","1462396","1843608","1950388","1567185"
"負債及び純資産 計","0","550000","1461152","1956094","2458533","2769148","3038107","3121800","3096868","3131750","3791511","3683472","3778692"
