"月次推移：損益計算書_医療法人きたかみ腎クリニック（期間：2023年08月～2024年07月、表示単位：円）"
"","2023-08","2023-09","2023-10","2023-11","2023-12","2024-01","2024-02","2024-03","2024-04","2024-05","2024-06","2024-07","期間累計"
"売上高","","","","","","","","","","","","",""
"その他医業収入","104899","5683007","15509874","1826968","348239","197002","61422","106113","76456","106055","115729","54227","24189991"
"社保収入　きたかみ","6088950","5990190","5277106","6503771","5815380","6077080","5261471","5632423","5297326","6243790","6317361","7097335","71602183"
"国保収入　きたかみ","26372890","24141612","25743200","24018241","23829185","26932018","23145061","24635540","24170394","25624583","22589126","25578948","296780798"
"売上高 計","32566739","35814809","46530180","32348980","29992804","33206100","28467954","30374076","29544176","31974428","29022216","32730510","392572972"
"売上原価","","","","","","","","","","","","",""
"売上原価","8430549","8134298","8630170","7797792","7897664","7029391","7256663","7319982","7020086","7822743","6971055","6758327","91068720"
"期首商品棚卸","0","0","0","0","0","0","0","0","0","0","0","1127250","1127250"
"期首商品棚卸高","0","0","0","0","0","0","0","0","0","0","0","1127250","1127250"
"当期商品仕入","8430549","8134298","8630170","7797792","7897664","7029391","7256663","7319982","7020086","7822743","6971055","7425529","91735922"
"診療材料費","6454637","6727682","6346129","5523125","6070717","5198336","5359099","5476091","5174838","5777405","5438849","5320104","68867012"
"委託料","997139","990617","1140775","1321302","1240947","1035101","1091860","1038815","1025707","1133392","1228725","1263783","13508163"
"衛生費","137988","134816","138999","125927","132705","151361","114353","186330","135594","186654","137124","145155","1727006"
"仕入高","840785","281183","1004267","827438","453295","644593","691351","618746","683947","725292","166357","696487","7633741"
"他勘定振替高(商)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"期末商品棚卸","0","0","0","0","0","0","0","0","0","0","0","1794452","1794452"
"期末商品棚卸高","0","0","0","0","0","0","0","0","0","0","0","1794452","1794452"
"商品売上原価","8430549","8134298","8630170","7797792","7897664","7029391","7256663","7319982","7020086","7822743","6971055","6758327","91068720"
"売上総損益金額","24136190","27680511","37900010","24551188","22095140","26176709","21211291","23054094","22524090","24151685","22051161","25972183","301504252"
"販売管理費","","","","","","","","","","","","",""
"研修費","5000","0","0","0","0","0","0","0","0","0","0","0","5000"
"通勤費","260057","259015","240713","241078","245257","203671","244341","218466","229005","194248","184065","166739","2686655"
"給食費","22968","21692","39486","26158","24882","20416","28072","24882","36366","23760","15840","0","284522"
"役員報酬","880000","880000","2880000","2880000","2880000","2880000","2880000","4408000","2908000","2908000","2908000","2908000","32200000"
"給料手当","12976684","11562273","15488648","11986937","11387341","11065091","10917080","10579932","9928185","8067878","8328791","7883517","130172357"
"賞与","0","0","0","0","8421522","0","0","0","0","0","0","4729037","13150559"
"法定福利費","2816764","924500","1500655","765997","994134","1719079","662833","733898","1199288","1113697","217860","4950816","17599521"
"福利厚生費","307300","334840","286880","395732","450265","282175","299699","287380","308020","284746","287020","345785","3869842"
"広告宣伝費","203236","17490","17490","17490","17490","39490","17490","17490","17490","17490","17490","-56902","343234"
"交際費","125565","19811","33465","54766","7595","234587","18680","75995","282724","129310","274491","211002","1467991"
"会議費","0","0","0","0","0","2330","0","2395","2558","1470","0","2900","11653"
"旅費交通費","602707","356802","548394","609637","501676","361494","309460","657944","402842","224912","291038","167412","5034318"
"通信費","106726","82987","107464","72456","103334","78941","63309","60572","201252","75294","51447","141386","1145168"
"消耗品費","135338","93897","86483","138693","153002","126585","97677","117910","130007","216536","148049","11954","1456131"
"修繕費","2929410","0","0","649000","264000","114400","202400","0","0","148500","22000","387200","4716910"
"水道光熱費","826665","1153628","1030580","989907","1073031","1177664","1211190","1198742","990473","759506","815273","912410","12139069"
"新聞図書費","189549","4000","53880","4000","59000","7300","3894","4000","16100","12113","0","17330","371166"
"諸会費","163000","0","90000","0","162550","102200","0","0","201000","55400","101400","13000","888550"
"支払手数料","225330","1063960","919855","333783","160338","156605","247223","218090","247436","182650","1231725","233410","5220405"
"車両費","48175","192269","5490","379451","31676","56393","37840","152173","46392","44335","51372","49741","1095307"
"地代家賃","1242750","1044682","1056190","1226370","1218850","1206750","1207850","260000","260000","580000","260000","260000","9823442"
"賃借料","0","0","0","0","0","18000","20000","4000","2000","21000","2000","2000","69000"
"リース料","9350","9350","9350","9350","9350","9350","9350","9350","9350","9350","9350","9350","112200"
"保険料","0","153609","0","163000","0","0","0","17650","0","46890","0","0","381149"
"租税公課","1200","7205","960","29600","710","0","71","15300","5060","537600","0","1613597","2211303"
"支払報酬料","132000","184800","756800","52800","492800","258500","459800","1702800","1738000","1716000","1716000","1736900","10947200"
"減価償却費","0","0","0","0","0","0","0","0","0","0","0","23161480","23161480"
"貸倒繰入額(販)","0","0","0","0","0","0","0","0","0","0","0","340000","340000"
"雑費","131224","193","0","0","0","0","0","0","0","0","0","0","131417"
"管理諸費","0","0","0","0","0","0","0","0","267960","0","33000","0","300960"
"販売管理費 計","24340998","18367003","25152783","21026205","28658803","20121021","18938259","20766969","19429508","17370685","16966211","50198064","281336509"
"営業損益金額","-204808","9313508","12747227","3524983","-6563663","6055688","2273032","2287125","3094582","6781000","5084950","-24225881","20167743"
"営業外収益","78927","97278","84434","73393","3278665","12263","20818236","321123","113864","20389","9638","805068","25713278"
"受取利息","387","35","0","0","4641","0","465","20","0","53","2650","868","9119"
"受取配当金","0","0","0","0","0","0","0","0","0","0","2070","3530","5600"
"雑収入","78540","97243","84434","73393","3274024","12263","20817771","321103","113864","20336","4918","316670","25214559"
"貸倒引当金戻入益","0","0","0","0","0","0","0","0","0","0","0","484000","484000"
"営業外費用","1229205","336429","344803","397489","305119","324048","352961","317695","335697","332475","318572","344406","4938899"
"支払利息","374205","336429","344803","397139","305119","324048","352961","317695","335557","332375","318372","346196","4084899"
"雑損失","855000","0","0","350","0","0","0","0","140","100","200","-1790","854000"
"経常損益金額","-1355086","9074357","12486858","3200887","-3590117","5743903","22738307","2290553","2872749","6468914","4776016","-23765219","40942122"
"特別利益","0","0","0","0","0","0","0","0","0","0","0","0","0"
