"月次推移：損益計算書_医療法人きたかみ腎クリニック（期間：2024年08月～2025年07月、表示単位：円）"
"","2024-08","2024-09","2024-10","2024-11","2024-12","2025-01","2025-02","2025-03","2025-04","2025-05","2025-06","2025-07","期間累計"
"売上高","","","","","","","","","","","","",""
"その他医業収入","79674","85051","1014223","1695195","642003","179785","75063","42705","53262","70684","173127","136907","4247679"
"社保収入　きたかみ","5899261","7081262","7313255","7993135","5932992","7644277","7607191","8884685","7293914","8460096","8234725","8284866","90629659"
"国保収入　きたかみ","26692076","23804675","25257802","24633576","25676716","25066935","21469167","24583084","26410163","26197596","24869969","26826840","301488599"
"売上高 計","32671011","30970988","33585280","34321906","32251711","32890997","29151421","33510474","33757339","34728376","33277821","35248613","396365937"
"売上原価","","","","","","","","","","","","",""
"売上原価","8845046","8315487","9852570","9257246","9190329","8723867","7350001","8702451","9939345","8135856","8019264","7436938","103768400"
"期首商品棚卸","0","0","0","0","0","0","0","0","0","0","0","1794452","1794452"
"期首商品棚卸高","0","0","0","0","0","0","0","0","0","0","0","1794452","1794452"
"当期商品仕入","8845046","8315487","9852570","9257246","9190329","8723867","7350001","8702451","9939345","8135856","8019264","11304234","107635696"
"診療材料費","6667786","5860479","7299910","6351587","6602371","6022638","5108963","6226713","7429850","5862640","5556959","8794875","77784771"
"委託料","1255644","1379594","1608961","1408214","1465179","1249065","1305418","1299630","1533676","1466543","1601655","1561843","17135422"
"衛生費","149174","135167","138543","120795","175976","128039","155203","129282","142283","131328","135068","126443","1667301"
"仕入高","772442","940247","805156","1376650","946803","1324125","780417","1046826","833536","675345","725582","821073","11048202"
"他勘定振替高(商)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"期末商品棚卸","0","0","0","0","0","0","0","0","0","0","0","5661748","5661748"
"期末商品棚卸高","0","0","0","0","0","0","0","0","0","0","0","5661748","5661748"
"商品売上原価","8845046","8315487","9852570","9257246","9190329","8723867","7350001","8702451","9939345","8135856","8019264","7436938","103768400"
"売上総損益金額","23825965","22655501","23732710","25064660","23061382","24167130","21801420","24808023","23817994","26592520","25258557","27811675","292597537"
"販売管理費","","","","","","","","","","","","",""
"研修費","0","0","0","68580","0","0","0","0","0","4000","4000","0","76580"
"通勤費","183053","174772","158923","177367","168291","159727","161758","129909","115972","116036","177604","187820","1911232"
"役員報酬","3858000","4250000","4250000","4250000","4250000","4250000","4250000","4250000","4250000","4250000","4250000","4250000","50608000"
"給料手当","7842185","8299353","7455179","8020328","8341520","7547849","8336617","8187259","8362530","7927425","8303179","8152076","96775500"
"賞与","0","0","0","0","8263630","0","0","0","0","0","0","4987360","13250990"
"法定福利費","918218","908546","1768811","950352","2224835","1810883","975414","975008","973867","977162","979067","1652567","15114730"
"福利厚生費","312274","309779","316296","488382","612815","422704","322893","317120","381231","358254","376338","450127","4668213"
"広告宣伝費","42196","17490","17490","17490","17490","17490","17490","17490","17490","17490","17490","94250","311346"
"交際費","224860","131600","215696","530633","348053","220616","230414","363366","352553","127726","28806","201254","2975577"
"会議費","4210","4253","0","2460","0","1960","6975","3790","30640","0","0","0","54288"
"旅費交通費","172483","285044","227764","274855","240107","243539","344671","322649","380326","263860","346406","198680","3300384"
"通信費","57119","77181","100240","58515","65476","58129","54869","55920","139087","71483","58739","64295","861053"
"消耗品費","57717","79678","150464","285915","212413","110673","132614","55612","102262","237970","77952","398567","1901837"
"修繕費","0","237875","0","101200","184800","446600","0","330990","0","0","33000","167200","1501665"
"水道光熱費","987506","961798","721525","796578","1015635","1309695","1296717","1168747","1058594","857339","861974","1103834","12139942"
"新聞図書費","0","0","300","4400","0","0","11000","0","0","0","3960","0","19660"
"諸会費","227000","2000","90000","13000","155200","10000","0","9000","330000","34800","29900","110000","1010900"
"支払手数料","14130","11505","12360","10045","9710","51610","252212","187138","8430","8680","9430","28935","604185"
"車両費","50603","82049","489936","70803","129067","88596","78493","101536","108689","91670","290189","245871","1827502"
"地代家賃","281000","60000","60000","260000","260000","585961","260000","425000","342500","662500","342500","1368500","4907961"
"賃借料","2000","2000","3900","2900","49900","76900","49900","63900","63900","70900","53100","56100","495400"
"リース料","9350","9350","9350","9350","9350","9350","9350","9350","9350","9350","9350","9350","112200"
"保険料","0","135569","17650","437520","0","0","0","0","90950","321600","0","0","1003289"
"租税公課","2400","498000","21300","499000","7900","2450","500","1500","200","42920","487400","726007","2289577"
"支払報酬料","1826000","2288000","1716000","1749000","1749000","1819950","1749000","1749000","1749000","1914000","897000","3141000","22346950"
"減価償却費","0","0","0","0","0","0","0","0","0","0","0","21209889","21209889"
"貸倒繰入額(販)","0","0","0","0","0","0","0","0","0","0","0","388900","388900"
"雑費","0","193","0","0","0","0","87437","0","0","0","0","0","87630"
"管理諸費","0","0","0","0","0","0","0","0","267960","0","0","0","267960"
"販売管理費 計","17072304","18826035","17803184","19078673","28315192","19244682","18628324","18724284","19135531","18365165","17637384","49192582","262023340"
"営業損益金額","6753661","3829466","5929526","5985987","-5253810","4922448","3173096","6083739","4682463","8227355","7621173","-21380907","30574197"
"営業外収益","41291","11096","28221","171357","18532","12541","15284","132931","5698","325336","18337","382598","1163222"
"受取利息","2219","643","444","1454","5699","711","10028","1230","827","786","2486","11977","38504"
"受取配当金","0","0","0","0","0","0","0","0","0","0","2070","3530","5600"
"雑収入","39072","10453","27777","169903","12833","11830","5256","131701","4871","324550","13781","27063","779090"
"為替差益","0","0","0","0","0","0","0","0","0","0","0","28","28"
"貸倒引当金戻入益","0","0","0","0","0","0","0","0","0","0","0","340000","340000"
"営業外費用","291622","365517","373301","403152","435437","182455","345704","448365","436791","367357","401214","409290","4460205"
"支払利息","291622","365517","373301","403152","435437","182455","345704","448365","436791","367357","401214","409290","4460205"
"経常損益金額","6503330","3475045","5584446","5754192","-5670715","4752534","2842676","5768305","4251370","8185334","7238296","-21407599","27277214"
"特別利益","0","0","0","0","0","0","0","0","0","0","0","0","0"
"特別損失","0","0","0","0","0","0","0","0","0","0","0","0","0"
"税引前当期純損益金額","6503330","3475045","5584446","5754192","-5670715","4752534","2842676","5768305","4251370","8185334","7238296","-21407599","27277214"
"法人税等","0","0","0","0","0","0","0","0","0","0","0","85300","85300"
"法人税・住民税及び事業税","0","0","0","0","0","0","0","0","0","0","0","85300","85300"
"法人税等調整額","0","0","0","0","0","0","0","0","0","0","0","0","0"
