"月次推移：貸借対照表_医療法人きたかみ腎クリニック（期間：2023年08月～2024年07月、表示単位：円）"
"","期首","2023-08","2023-09","2023-10","2023-11","2023-12","2024-01","2024-02","2024-03","2024-04","2024-05","2024-06","2024-07"
"資産の部","","","","","","","","","","","","",""
"流動資産","","","","","","","","","","","","",""
"現金","260000","260000","355160","390315","502190","289820","422974","446043","369650","295075","459148","480900","314320"
"諸口","0","0","0","0","0","0","0","0","0","0","0","0","0"
"小口現金_旧","259178","0","0","0","0","0","0","0","0","0","0","0","0"
"小口現金","0","105946","167910","267039","313719","455825","478275","435370","289720","750258","692666","599482","584559"
"厨房_小口現金","0","37936","37936","34178","34178","34178","34178","34178","34178","34178","0","0","0"
"岩手（法人）（API）","24666265","19357973","22937694","14081406","11500544","26744027","180372","15993872","19169034","36810437","32684633","9861515","9310544"
"北上信金（法人）（API）","1949200","3396780","4349799","1687995","2452956","8130906","2501579","3159921","4157522","1693923","3300187","2064592","932863"
"岩手医信","1131383","1131535","1131535","1131535","1131535","1131535","1131535","1131818","1131818","1131818","1131818","1132296","1132296"
"岩手医信0112637","450000","900000","1350000","1800000","2250000","2700000","3150000","3600000","4050000","4500000","4950000","5402527","450000"
"岩手医信0110960","5600000","6300000","7000000","7700000","8400000","700000","1400000","2100000","2800000","3500000","4200000","4900000","5600000"
"北上信金0186498","2400000","0","0","0","0","0","0","0","0","0","0","0","0"
"ゆうちょ（法人）（API）","28398","28398","28398","28398","28398","28398","28398","28398","28398","28398","28398","28398","0"
"GMOあおぞらネット（法人）（API） 102 法人第二営業部 普通預金（有利息） ***2223","0","0","0","0","0","0","0","0","0","2021522","5537478","30725702","27917827"
"売掛金","0","0","0","0","0","0","0","0","-38778","-25036","0","0","0"
"貸倒引当金(売)","0","0","0","0","0","0","0","0","0","0","0","0","-340000"
"医業未収金","80790819","77016655","65850528","79617020","74966022","59541951","59878786","58008978","56583315","57576715","58752625","57513968","58446149"
"医薬品材料","1127250","1127250","1127250","1127250","1127250","1127250","1127250","1127250","1127250","1127250","1127250","1127250","1794452"
"貯蔵品","209837","209837","209837","209837","209837","209837","209837","209837","209837","209837","209837","209837","248130"
"立替金","4510304","4645685","5083871","5144692","4474587","3474587","3474587","135381","135381","1568296","1988321","1988321","1988321"
"前払費用","150200","60000","60000","60000","60000","60000","60000","60000","60000","60000","60000","60000","110200"
"短期貸付金","31203128","37781062","49435018","50631021","51306519","52083970","63372136","71004745","71883519","41327078","41932588","42525848","39791242"
"未収入金","460616","457709","457709","457709","457709","457709","457709","457709","457929","457929","458149","458589","460737"
"立替金長谷分","0","0","0","0","0","0","0","0","0","0","-18065","-47764","0"
"仮払金","0","0","0","397380","0","0","0","0","130900","243400","219200","8800","0"
"貸倒引当金(他)","-484000","-484000","-484000","-484000","-484000","-484000","-484000","-484000","-484000","-484000","-484000","-484000","0"
"流動資産 計","154712578","152332766","159098645","164281775","158731444","156685993","137423616","157449500","162095673","152827078","157230233","158556261","148741640"
"固定資産","","","","","","","","","","","","",""
"有形固定資産","","","","","","","","","","","","",""
"建物附属設備","1486227","1486227","1486227","1486227","1706227","1706227","1706227","1706227","1706227","1706227","1706227","1706227","1371938"
"建物","152028253","152028253","152028253","152028253","152028253","152028253","152028253","152028253","152028253","152028253","152028253","152028253","139345506"
"車両運搬具","1","1","939881","939881","939881","939881","939881","939881","939881","939881","939881","939881","156648"
"工具器具備品","24988068","24988068","27355268","27355268","27355268","27355268","27355268","27355268","27355268","27355268","27355268","30809268","19389662"
"有形固定資産 計","178502549","178502549","181809629","181809629","182029629","182029629","182029629","182029629","182029629","182029629","182029629","185483629","160263754"
"無形固定資産","","","","","","","","","","","","",""
"ソフトウェア","1508378","1508378","1508378","1508378","1508378","1508378","1508378","1508378","1508378","1508378","1508378","1508378","479710"
"無形固定資産 計","1508378","1508378","1508378","1508378","1508378","1508378","1508378","1508378","1508378","1508378","1508378","1508378","479710"
"投資その他の資産","","","","","","","","","","","","",""
"出資金","140000","140000","140000","140000","140000","140000","140000","140000","140000","140000","140000","140000","140000"
"長期前払費用","1036431","800000","800000","800000","800000","800000","800000","800000","800000","800000","800000","1800000","1566667"
