"月次推移：貸借対照表_医療法人きたかみ腎クリニック（期間：2024年08月～2025年07月、表示単位：円）"
"","期首","2024-08","2024-09","2024-10","2024-11","2024-12","2025-01","2025-02","2025-03","2025-04","2025-05","2025-06","2025-07"
"資産の部","","","","","","","","","","","","",""
"流動資産","","","","","","","","","","","","",""
"現金","314320","609007","617664","458830","626570","500450","494904","526102","665425","418830","567266","329410","502612"
"小口現金","584559","658200","630824","575659","440957","600771","598579","483484","455032","433949","424942","433387","139652"
"岩手（法人）（API）","9310544","5341424","6294727","9739213","6617476","7398386","3958581","2878829","1997171","1950254","6777367","3676905","5927261"
"北上信金（法人）（API）","932863","901536","906110","905010","903910","902810","901710","101710","102057","102057","102057","103649","103649"
"岩手医信","1132296","1132461","1132461","1132461","1132461","0","0","530","530","530","530","1008","1008"
"岩手医信0112637","450000","900000","1350000","1800000","2250000","0","0","0","0","0","0","0","0"
"岩手医信0110960","5600000","6300000","7000000","7700000","8400000","0","0","0","0","0","0","0","0"
"ゆうちょ（法人）（API）","0","0","0","1","1","1","1","1","1","1","1","1","1"
"GMOあおぞらネット（法人）（API） 102 法人第二営業部 普通預金（有利息） ***2223","27917827","37310235","26466530","24284812","2462428","9193487","1131199","1275751","6566096","4754329","6897520","9702754","7869189"
"GMOあおぞらネット銀行_定期","0","0","0","0","28600000","26600000","27800000","30010000","26010000","26908214","26908214","23298214","12098214"
"七十七（法人）（API）","0","0","0","0","0","9847033","181416","182206","30136179","136179","136179","136179","136179"
"GMOあおぞらネット銀行_外貨預金","0","0","0","0","0","0","0","10000","10000","10000","10000","10000","10028"
"貸倒引当金(売)","-340000","-340000","-340000","-340000","-340000","-340000","-340000","-340000","-340000","-340000","-340000","-340000","-388900"
"医業未収金","58446149","62443631","61340330","62195101","63637694","61212708","61247000","57832807","58708974","63383995","64510249","63683284","64358682"
"医薬品材料","1794452","1794452","1794452","1794452","1794452","1794452","1794452","1794452","1794452","1794452","1794452","1794452","5661748"
"貯蔵品","248130","248130","248130","248130","248130","248130","248130","248130","248130","248130","248130","248130","238905"
"未収消費税","0","0","0","0","0","0","0","0","0","0","0","0","319700"
"立替金","1988321","1988321","1988321","1988321","1988321","1988321","1988321","3046701","3046701","3046701","3046701","1988321","1988321"
"前払費用","110200","110200","110200","110200","110200","110200","392200","345200","298200","251200","204200","166500","1366200"
"立替金松本分","0","0","0","0","0","0","0","0","-30700","-40525","-8306","0","0"
"未収収益","0","0","0","0","0","0","0","0","0","0","0","0","0"
"短期貸付金","39791242","40379242","40967242","41575042","42163042","42751592","42653414","42653414","40653414","39653414","38653414","37640434","37640434"
"未収入金","460737","460517","460757","460757","460977","460977","460757","460757","460537","460977","460977","460757","464025"
"立替金長谷分","0","-7430","-12140","-25460","-4360","-11100","-5210","-12290","-4480","-10040","-14100","-19020","0"
"仮払金","0","0","0","0","0","0","0","0","0","0","0","0","0"
"仮払消費税","0","0","0","0","0","0","0","0","555300","555300","555300","555300","0"
"流動資産 計","148741640","160229926","150955608","154602529","161492259","163258218","143505454","141497784","171333019","143717947","150935093","143869665","138436908"
"固定資産","","","","","","","","","","","","",""
"有形固定資産","","","","","","","","","","","","",""
"建物附属設備","1371938","1371938","1371938","1371938","1371938","1371938","1371938","1371938","1371938","1371938","1371938","1371938","1257649"
"建物","139345506","139345506","139345506","139345506","139345506","139345506","139345506","139345506","139345506","139345506","139345506","139345506","126662759"
"車両運搬具","156648","156648","156648","156648","156648","156648","156648","156648","156648","156648","156648","156648","2"
"工具器具備品","19389662","19389662","19389662","19389662","19389662","21347662","21347662","21347662","21347662","21347662","21347662","21347662","20582681"
"有形固定資産 計","160263754","160263754","160263754","160263754","160263754","162221754","162221754","162221754","162221754","162221754","162221754","162221754","148503091"
"無形固定資産","","","","","","","","","","","","",""
"ソフトウェア","479710","479710","479710","479710","479710","754710","754710","754710","754710","754710","754710","1524710","1086984"
"無形固定資産 計","479710","479710","479710","479710","479710","754710","754710","754710","754710","754710","754710","1524710","1086984"
"投資その他の資産","","","","","","","","","","","","",""
"出資金","140000","140000","140000","140000","140000","140000","140000","140000","140000","140000","140000","140000","140000"
